sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500106071,YouBike2.0_中山青島路口,中正區,中山南路/青島東路口(東北側),25.04503,121.51968,40,25,15,1,2026-09-24 10:51:02
500106080,YouBike2.0_捷運臺北車站(M2出口),中正區,市民大道一段168號旁,25.04821,121.51903,20,4,15,1,2026-09-24 10:51:02
500106083,YouBike2.0_臺北市國父史蹟館(逸仙公園),中正區,中山北路一段46號北側,25.04779,121.52042,31,6,25,1,2026-09-24 10:51:02
500106099,YouBike2.0_林森北平路口,中正區,林森北路與北平東路口西北側,25.04659,121.52377,20,5,15,1,2026-09-24 10:51:02
500106101,YouBike2.0_天津北平路口,中正區,天津街1號對側人行道,25.04692,121.52208,25,6,19,1,2026-09-24 10:51:02
500106105,YouBike2.0_臺大醫院兒童醫院,中正區,中山南路8號(青島西路側),25.04461,121.5188,22,15,6,1,2026-09-24 10:51:02
500106112,YouBike2.0_忠孝西重慶南路口,中正區,忠孝西路一段100號前,25.04724,121.51272,33,28,3,1,2026-09-24 10:51:02
500106144,YouBike2.0_立法院中興大樓,中正區,濟南路一段3-1號,25.04278,121.52119,13,9,3,1,2026-09-24 10:51:02
500107001,YouBike2.0_通北街65巷口,中山區,通北街/通北街65巷口(東北側),25.08251,121.54004,27,6,21,1,2026-09-24 10:51:02
500107002,YouBike2.0_圓山風景區,中山區,北安路/北安路77巷口(西北側),25.07805,121.5295,15,11,4,1,2026-09-24 10:51:02
