sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101140,YouBike2.0_仁愛國中,大安區,安和路一段75號(對面),25.03706,121.55166,25,0,25,1,2026-09-25 21:42:02
500101141,YouBike2.0_捷運信義安和站(2號出口),大安區,信義路四段188號前,25.03304,121.55171,24,15,8,1,2026-09-25 21:42:02
500101142,YouBike2.0_八德市場,大安區,市民大道三段170號,25.04463,121.53665,30,9,21,1,2026-09-25 21:42:02
500101143,YouBike2.0_昌隆公園,大安區,市民大道三段206號西側,25.04448,121.53946,16,11,5,1,2026-09-25 21:42:02
500101144,YouBike2.0_捷運大安森林公園站(2號出口),大安區,捷運大安森林公園站(2號出口)西側,25.03332,121.53435,69,40,27,1,2026-09-25 21:42:02
500101145,YouBike2.0_信義延吉街口,大安區,信義路四段353號,25.03318,121.55725,15,6,9,1,2026-09-25 21:42:02
500101146,YouBike2.0_光信公園(光復南路456巷),大安區,延吉街249號,25.03513,121.5561,25,14,11,1,2026-09-25 21:42:02
500101147,YouBike2.0_僑安地下停車場(2號出口)東南側,大安區,光復南路290巷5號,25.0391,121.5569,28,10,16,1,2026-09-25 21:42:02
500101148,YouBike2.0_建國南路一段279巷口,大安區,建國南路一段275號,25.03635,121.53833,62,30,32,1,2026-09-25 21:42:02
500101149,YouBike2.0_捷運忠孝新生站(6號出口),大安區,新生南路一段101號,25.04091,121.53295,35,1,33,1,2026-09-25 21:42:02
500101150,YouBike2.0_捷運忠孝新生站(4號出口),大安區,忠孝新生路口北側,25.04239,121.53324,46,1,43,1,2026-09-25 21:42:02
500101151,YouBike2.0_大安高工,大安區,復興南路二段52號(前),25.03126,121.54339,23,10,11,1,2026-09-25 21:42:02
500101152,YouBike2.0_捷運忠孝新生站(3號出口),大安區,忠孝東路三段與10巷口,25.04189,121.53376,43,2,40,1,2026-09-25 21:42:02
500101153,YouBike2.0_瑠公公園,大安區,忠孝東路四段49巷4弄/大安路口,25.04201,121.54612,20,9,10,1,2026-09-25 21:42:02
500101154,YouBike2.0_敦化市民路口,大安區,敦化南路1段158號(前),25.04405,121.5486,23,17,6,1,2026-09-25 21:42:02
500101155,YouBike2.0_捷運大安森林公園站(5號出口),大安區,捷運大安森林公園站(5號出口)東側,25.03336,121.5364,15,3,12,1,2026-09-25 21:42:02
500101156,YouBike2.0_信義建國路口,大安區,建國南路二段與信義路三段口西南側,25.0328,121.53746,52,15,36,1,2026-09-25 21:42:02
500101157,YouBike2.0_東豐公園,大安區,東豐街24號(旁公園路側),25.03569,121.5451,19,8,10,1,2026-09-25 21:42:02
500101158,YouBike2.0_德安公園(四維路66巷),大安區,四維路66巷6號北側,25.03473,121.54767,22,4,18,1,2026-09-25 21:42:02
500101159,YouBike2.0_捷運忠孝復興站(5號出口),大安區,復興南路一段135巷口,25.04253,121.54407,30,3,24,1,2026-09-25 21:42:02
500101160,YouBike2.0_捷運忠孝敦化站(2號出口),大安區,忠孝東路四段221號,25.04153,121.5524,17,11,5,1,2026-09-25 21:42:02
500101161,YouBike2.0_捷運忠孝敦化站(7號出口),大安區,忠孝東路四段143號,25.04159,121.54937,18,3,15,1,2026-09-25 21:42:02
